Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
       (2008 KV2),,,,21.26,2459800.5,0.412,0.8501,0.5,5.04,66.78,347.86,253.49,1.2,1.257,0.044,1
       (2008 KE6),,,,20.77,2459800.5,0.5211,1.69,0.81,3.43,113.72,224.28,138.8,2.57,0.4485,0.0223,1
       (2008 LW16),,,,19.95,2459800.5,0.1035,1.066,0.956,29.69,97.98,347.94,136.93,1.18,0.8953,0.0241,1
       (2008 MP1),,,,21.9,2454650.5,0.565,1.89,0.822,3.78,105.51,243.36,339.97,2.96,0.3792,0.00168,1
       (2008 NO3),,,,18.8,2459800.5,0.6728,2.79,0.913,11.66,36.37,206.77,13.19,4.67,0.2115,0.0343,1
       (2008 NQ3),,,,20.3,2454669.5,0.5817,2.451,1.025,27.17,109.39,155.3,9.77,3.88,0.2569,0.0418,1
       (2008 OO),,,,19.7,2459800.5,0.7018,2.105,0.628,5.48,305.98,253.63,237.66,3.58,0.3228,0.0149,1
       (2008 OX1),,,,21.5,2459800.5,0.2776,1.206,0.871,29.74,304.84,281.32,262.93,1.54,0.744,0.0355,1
       (2008 OS7),,,,20.4,2459800.5,0.6452,1.909,0.678,7.03,137.01,73.19,140.38,3.14,0.3735,0.0101,1
       (2008 OP8),,,,19.8,2459800.5,0.6762,2.209,0.715,5.22,186.14,37.48,119.74,3.7,0.3003,0.0497,1
       (2008 ON13),,,,19.9,2459800.5,0.816,2.219,0.408,5.87,143.79,46.89,117.56,4.03,0.2982,0.0417,1
       (2008 PF1),,,,22,2459800.5,0.4945,1.36,0.687,2.76,129.57,284.21,258.44,2.03,0.6216,0.00759,1
       (2008 PK3),,,,21.98,2459800.5,0.5977,1.888,0.76,17.1,122.41,109.45,165.15,3.02,0.3799,0.00189,1
       (2008 PJ9),,,,21.9,2459800.5,0.6608,2.548,0.864,4.77,115.31,135.06,172.21,4.23,0.2423,0.00914,1
       (2008 QS11),0.453,0.094,46.65,19.9,2459800.5,0.4826,1.861,0.963,12.49,11.51,30.71,154.07,2.76,0.3882,0.00758,1
       (2008 RV),,,,21.7,2459800.5,0.5641,2.269,0.989,2.28,119.91,192.38,32.74,3.55,0.2884,0.00673,1
       (2008 RM98),,,,20.4,2459800.5,0.6435,2.552,0.91,1.9,284.7,166.96,110.66,4.19,0.2417,0.0125,1
       (2008 SC),,,,21.7,2454730.5,0.7018,1.091,0.325,16.81,6.87,122.53,313.48,1.86,0.8645,0.0344,1
       (2008 SR1),,,22.15,20.32,2459800.5,0.6501,2.372,0.83,16.89,178,116.85,297.36,3.91,0.2697,0.0295,1
       (2008 SV11),,,32.4,18.36,2459800.5,0.7257,2.61,0.716,8.34,14.83,103.77,65.49,4.5,0.2338,0.0131,1
       (2008 SH82),,,,21.4,2459800.5,0.5954,2.435,0.985,4.63,268.58,158.15,210.16,3.89,0.2594,0.0168,1
       (2008 SJ82),,,,20.58,2459800.5,0.5778,2.379,1.005,9.69,135.15,218.37,284.27,3.75,0.2686,0.0485,1
       (2008 SY148),,,,21.8,2454741.5,0.1932,1.25,1.008,28.76,187.29,164.32,13.42,1.49,0.7052,0.0131,1
       (2008 TD2),,,,21.93,2459800.5,0.3343,1.53,1.019,4.02,16,315.98,137.85,2.04,0.5207,0.0401,1
       (2008 UU1),,,,19.9,2459800.5,0.7503,1.608,0.401,12.09,157.18,119,300.64,2.81,0.4835,0.022,1
       (2008 UE7),,,3.251,20.4,2459800.5,0.4484,1.648,0.909,3.95,81.16,48.79,145.16,2.39,0.4657,0.00922,1
       (2008 UW91),,,,21.71,2459800.5,0.5718,1.147,0.491,7.31,247.99,282.88,2.99,1.8,0.8027,0.0204,1
       (2008 VL14),,,,21.1,2454790.5,0.8182,2.214,0.403,1.95,40.02,243.8,24.21,4.03,0.2991,0.00433,1
       (2008 WK61),,,,20.7,2454798.5,0.4195,1.659,0.963,17.15,253.5,212.48,346.33,2.35,0.4614,0.0212,1
       (2008 WZ94),,,,20.1,2459800.5,0.7736,1.522,0.345,6.52,248.86,321,59.24,2.7,0.5248,0.0412,1
       (2008 XN),,,,21.4,2459800.5,0.5893,2.165,0.889,5.31,97.93,63.5,78.58,3.44,0.3094,0.0322,1
       (2008 XB1),,,,20.99,2459800.5,0.3728,1.332,0.836,12.68,270.34,84.09,356.65,1.83,0.6409,0.046,1
       (2008 XA2),,,,21.5,2459800.5,0.6131,2.384,0.922,2.93,39.66,334.49,270.98,3.85,0.2677,0.00785,1
       (2008 XQ2),,,,20.21,2459800.5,0.5529,2.202,0.984,14.52,34.55,355.05,85.63,3.42,0.3017,0.00694,1
       (2008 XW2),,,,20.7,2459800.5,0.4439,1.065,0.592,26.45,71.77,259.88,215.07,1.54,0.8969,0.0391,1
       (2008 YF),,,,20.9,2459800.5,0.4382,1.628,0.915,21.98,86.94,321.14,219.28,2.34,0.4746,0.00168,1
       (2008 YS27),,,,21.2,2459800.5,0.3173,1.468,1.002,4.88,91.06,13.21,236.89,1.93,0.5542,0.0236,1
       (2009 AL),,,,21.8,2459800.5,0.6622,2.503,0.846,3.98,222.45,315.77,146.94,4.16,0.2489,0.0114,1
       (2009 AC16),,,,21.4,2454849.5,0.5415,1.535,0.704,18.51,106.87,99.72,327.38,2.37,0.5181,0.0122,1
       (2009 AE16),,,,18.77,2459800.5,0.7368,1.789,0.471,46.15,309.83,280.44,218.52,3.11,0.412,0.0263,1
       (2009 BE58),,,,21.7,2459800.5,0.5595,0.937,0.413,1.86,149.52,120.94,253.53,1.46,1.087,0.00408,1
       (2009 BD81),,,,20.7,2454870.5,0.6394,2.593,0.935,12.46,344.38,190.54,352.58,4.25,0.2361,0.0456,1
       (2009 BE81),,,,21,2459800.5,0.3493,1.523,0.991,18.8,118.01,333.49,84.67,2.05,0.5245,0.0341,1
       (2009 CS),,,,19.7,2459800.5,0.5954,2.007,0.812,3.21,250.04,170.84,290.95,3.2,0.3466,0.0408,1
       (2009 CC3),,,,19.14,2459800.5,0.5376,2.202,1.018,11.37,194.89,15.42,32.01,3.39,0.3016,0.0283,1
       (2009 DR3),,,,21.5,2459800.5,0.5607,1.976,0.868,4.08,344.68,237.5,285.36,3.08,0.3548,0.00967,1
       (2009 DS10),,,,21,2459800.5,0.5869,2.211,0.913,7.51,313.09,123.38,49.63,3.51,0.2998,0.041,1
       (2009 DH39),,,,18.8,2459800.5,0.5997,1.849,0.74,53.7,155.43,68.25,104.69,2.96,0.3919,0.0167,1
       (2009 DZ42),,,,19.6,2459800.5,0.5831,2.446,1.02,13.11,295.14,183.46,190.59,3.87,0.2577,0.038,1
       (2009 DM45),,,,21.2,2459800.5,0.3673,1.172,0.742,26.69,336.33,90.89,263.06,1.6,0.7765,0.00809,1
       (2009 DL46),,,42.26,21.99,2459800.5,0.3074,1.461,1.012,7.92,63.38,160.32,195.43,1.91,0.5582,0.0122,1
       (2009 EP2),,,,21.6,2459800.5,0.3562,0.927,0.597,27.7,175.17,129.84,271.98,1.26,1.104,0.0425,1
       (2009 FE),,,,21.3,2459800.5,0.6106,2.535,0.987,1.91,39.78,201.05,101.35,4.08,0.2442,0.00134,1
       (2009 FF),,,,21.8,2459800.5,0.4681,1.474,0.784,0.98,265.86,11.06,125.28,2.16,0.5509,0.015,1
       (2009 FU4),,,,17.8,2459800.5,0.6161,2.38,0.914,12.91,42.11,233.14,198.12,3.85,0.2684,0.0374,1
       (2009 FY4),0.129,0.421,,21,2459800.5,0.3274,1.013,0.681,20.98,162.62,244.66,154.28,1.34,0.9674,0.0441,1
       (2009 FU23),,,,20.1,2459800.5,0.2823,0.8372,0.601,13.9,57.75,315.28,331.5,1.07,1.287,0.0331,1
       (2009 HV2),,,,21.3,2459800.5,0.4992,1.641,0.822,6.73,37.98,261.04,80.71,2.46,0.4689,0.0335,1
       (2009 HA21),,,,20.8,2459800.5,0.729,1.46,0.396,6.41,205.41,219.89,253.02,2.53,0.5585,0.0463,1
       (2009 HD21),,,,18.2,2459800.5,0.688,2.771,0.865,18.65,179.21,134.3,292.35,4.68,0.2136,0.0118,1
       (2009 HV58),,,,19.6,2459800.5,0.5837,1.984,0.826,46.96,69.7,50.95,306.93,3.14,0.3527,0.026,1
       (2009 JR),,,,21.4,2459800.5,0.4898,1.73,0.882,8.41,225.36,295.27,319.1,2.58,0.4333,0.0316,1
       (2009 KD3),,,,21.4,2454977.5,0.676,2.17,0.703,7.93,39.3,116.23,17.88,3.64,0.3083,0.028,1
       (2009 KE3),,,,18.31,2459800.5,0.7031,2.67,0.793,5.86,13.75,319.95,0.4,4.55,0.2259,0.0326,1
       (2009 KK8),,,,18.82,2459800.5,0.5945,2.402,0.974,2.27,120.51,194.11,186.08,3.83,0.2647,0.00905,1
       (2009 LQ),,,,21.7,2454997.5,0.5927,1.542,0.628,5.35,114.65,243.94,329.31,2.46,0.5148,0.0423,1
       (2009 LW2),,,,19.7,2459800.5,0.2595,1.206,0.893,33.15,101.11,41.1,86.01,1.52,0.7445,0.04,1
       (2009 OF),,,,21.5,2459800.5,0.5991,2.353,0.944,9.37,126.89,218.03,208.92,3.76,0.273,0.0056,1
       (2009 QJ9),,,,19.32,2459800.5,0.621,2.718,1.03,19.28,157.78,202.21,309.62,4.41,0.22,0.0473,1
       (2009 RV1),,,,21.9,2459800.5,0.6376,2.696,0.977,1.9,2.01,56.41,316.99,4.42,0.2226,0.021,1
       (2009 RZ3),,,,18.7,2459800.5,0.6746,2.211,0.72,52.66,344.71,114.18,301.83,3.7,0.2997,0.0401,1
       (2009 SB),,,,20.5,2459800.5,0.8005,2.214,0.442,5.45,215.1,271.79,303.49,3.99,0.2992,0.0209,1
       (2009 SN),,,,21.7,2455092.5,0.3219,1.428,0.968,26.47,344.66,37.75,345.72,1.89,0.5776,0.0119,1
       (2009 SW17),,,,19.9,2459800.5,0.598,2.013,0.809,8.4,42.44,42.18,160.92,3.22,0.3452,0.0415,1
       (2009 SG18),,,,17.9,2459800.5,0.6736,3.041,0.992,57.86,177.42,204.57,146.1,5.09,0.1859,0.0256,1
       (2009 TK12),,,4.167,20.6,2459800.5,0.5845,1.696,0.705,3.83,245.56,245.49,252.32,2.69,0.4461,0.0132,1
       (2009 UQ),,,,21.7,2459800.5,0.5346,1.785,0.831,14.51,8.71,306.04,154.07,2.74,0.4132,0.0178,1
       (2009 UY17),,,,20.9,2455129.5,0.3161,0.8185,0.56,42.05,202.1,30.56,139.17,1.08,1.331,0.0142,1
       (2009 VW),,,,21.6,2459800.5,0.5626,1.44,0.63,7.16,54.4,256.13,170.09,2.25,0.5702,0.0277,1
       (2009 VZ),,,,21.3,2459800.5,0.3253,1.412,0.953,12.31,233.66,221.5,190.73,1.87,0.5871,0.0223,1
       (2009 VA26),,,,20.71,2459800.5,0.3835,1.513,0.933,38.95,230.7,307.47,219.47,2.09,0.5296,0.0344,1
       (2009 VQ44),,,,21.9,2455155.5,0.7265,1.345,0.368,29.8,46.78,237.92,35.91,2.32,0.6322,0.0187,1
       (2009 WJ1),,,,21.2,2459800.5,0.6794,2.463,0.79,0.62,276.57,195.15,85.85,4.14,0.255,0.00756,1
       (2009 XV),,,,21,2459800.5,0.6878,2.566,0.801,3.34,44.5,327.12,37.91,4.33,0.2397,0.0234,1
       (2009 XT6),,,,20.2,2459800.5,0.768,2.179,0.506,5.74,264.95,81.97,350.91,3.85,0.3063,0.00219,1
       (2010 AF30),,,2.6,21.7,2459800.5,0.3717,1.325,0.832,3.06,62.42,162.78,14.16,1.82,0.6463,0.0432,1
       (2010 BV132),,,,21.39,2459600.5,0.1797,1.228,1.007,17.27,255.01,186.53,335.51,1.45,0.7242,0.0236,1
       (2010 CN44),0.34,0.185,,19.6,2459800.5,0.672,2.863,0.939,3.86,188.78,304.05,211.18,4.79,0.2035,0.0287,1
       (2010 CJ188),,,,22,2455234.5,0.3362,1.541,1.023,22.21,104.01,14.33,19.38,2.06,0.5155,0.0468,1
       (2010 DO),0.149,0.176,,21.7,2459800.5,0.7456,1.613,0.41,11.94,154.45,116.82,6.75,2.82,0.4812,0.0178,1
       (2010 EF44),,,,20.2,2459800.5,0.8884,2.186,0.244,38.04,173.74,235.07,315.37,4.13,0.3049,0.0216,1
       (2010 EK44),,,,19.8,2459800.5,0.7725,2.835,0.645,11.26,180.67,107.75,194.07,5.03,0.2065,0.0233,1
       (2010 FQ),0.285,0.204,,20,2459800.5,0.3563,1.527,0.983,10.56,140.45,359.5,218.49,2.07,0.5222,0.00217,1
       (2010 FF10),0.095,0.407,,21.79,2459800.5,0.6317,2.379,0.876,5.08,166.09,105.37,113.96,3.88,0.2686,0.0374,1
       (2010 FC81),0.402,0.021,0.3263,21.8,2459800.5,0.6232,2.677,1.009,1.68,144.31,63.65,290.52,4.35,0.225,0.0266,1
       (2010 GS7),0.203,0.107,,21.5,2459800.5,0.6595,2.691,0.916,9.13,190.85,56.99,270.59,4.47,0.2232,0.0451,1
       (2010 GU21),0.51,0.025,4.326,21.1,2459800.5,0.5629,2.18,0.953,3.19,57.19,201.01,283.23,3.41,0.3061,0.0104,1
       (2010 JG),0.192,0.209,,20.9,2459800.5,0.3198,1.19,0.81,23.31,49.73,292.02,78.34,1.57,0.7591,0.0285,1
       (2010 JK33),0.208,0.148,,20.9,2459800.5,0.61,2.233,0.871,4.04,28.58,289.86,218.03,3.59,0.2955,0.0251,1
       (2010 JV34),0.226,0.165,2.7824,20.85,2459800.5,0.5441,1.723,0.785,7.21,225.33,87.02,122.8,2.66,0.4359,0.0387,1
       (2010 JJ41),,,,21.8,2455328.5,0.6705,1.071,0.353,3.25,50.37,29.15,70.38,1.79,0.8893,0.0221,1
       (2010 JN71),0.214,0.106,,21.4,2459800.5,0.5891,2.383,0.979,17.73,62.4,185.6,111.21,3.79,0.2679,0.0308,1
       (2010 JE88),,,2,21.5,2459800.5,0.7636,2.11,0.499,10.73,224.6,260.24,13.99,3.72,0.3216,0.000538,1
       (2010 KQ10),,,,21.64,2459800.5,0.6658,2.379,0.795,6.67,244.51,287.15,138.51,3.96,0.2685,0.0212,1
       (2010 KR10),,,,19.5,2459800.5,0.5863,2.169,0.897,1.05,94.46,233.04,278.22,3.44,0.3085,0.00199,1
       (2010 KD149),0.213,0.118,,21.7,2459800.5,0.2117,0.8887,0.701,14.24,324.44,131.02,344.07,1.08,1.176,0.0219,1
       (2010 LK34),0.108,0.271,,21.9,2459800.5,0.8075,1.83,0.352,5.33,130.11,249.27,306.2,3.31,0.398,0.0083,1
       (2010 LZ63),0.877,0.021,,20.1,2455363.5,0.7655,1.924,0.451,13.95,307.72,78.73,338.14,3.4,0.3694,0.0132,1
       (2010 MU112),0.599,0.028,,20.7,2459800.5,0.5401,1.756,0.808,48.04,261.12,119.19,46.45,2.7,0.4235,0.00125,1
       (2010 NT81),,,,21.48,2459800.5,0.2778,1.33,0.96,10.47,329.9,5.06,283.51,1.7,0.6427,0.0499,1
       (2010 ON101),0.238,0.225,,20.2,2459800.5,0.4088,1.629,0.963,9.3,251.59,8.1,298.53,2.3,0.474,0.0444,1
       (2010 PK9),0.143,0.138,,21.8,2459800.5,0.6759,0.6821,0.221,12.59,306.53,195.63,254.67,1.14,1.75,0.0159,1
       (2010 RA147),,,,19.3,2459800.5,0.6546,2.16,0.746,5.82,8.23,116.8,232.76,3.57,0.3105,0.00985,1
       (2010 RF181),,,4.6,20.7,2459800.5,0.5451,2.211,1.006,6.22,51.06,2.43,204.98,3.42,0.2999,0.0174,1
       (2010 SC41),,,5.665,19.7,2459800.5,0.6074,1.865,0.732,0.25,236.17,266.97,193.11,3,0.3869,0.00113,1
       (2010 TP54),,,,21.7,2459800.5,0.5955,2.392,0.968,3.47,351.59,67.13,60.23,3.82,0.2664,0.0416,1
       (2010 TP55),,,,20.5,2459800.5,0.6699,2.348,0.775,3.33,232.81,69.57,125.83,3.92,0.274,0.00432,1
       (2010 TS149),,,,19.96,2459800.5,0.3904,1.498,0.913,3.43,128.13,13.32,74.48,2.08,0.5377,0.0265,1
       (2010 TU149),0.603,0.025,,20.7,2459800.5,0.8257,2.209,0.385,1.97,58.95,92.62,204.21,4.03,0.3002,0.0105,1
       (2010 TV149),,,,18.72,2459800.5,0.5188,1.699,0.818,9.79,78.58,42.93,80.14,2.58,0.4451,0.0439,1
       (2010 TX168),,,8.38,20.1,2459800.5,0.5237,1.483,0.706,26.02,32.93,101.55,148.3,2.26,0.5457,0.0214,1
       (2010 UY6),0.712,0.03,,20.2,2459800.5,0.6167,2.651,1.016,19.88,9.04,20.35,262.05,4.29,0.2284,0.0382,1
       (2010 UG7),,,,21.7,2459800.5,0.7735,2.237,0.507,15.99,25.85,102.07,172.95,3.97,0.2946,0.0225,1
       (2010 UQ7),,,,20.1,2459800.5,0.6788,2.453,0.788,4.51,236.85,76.58,38.45,4.12,0.2565,0.0181,1
       (2010 US7),,,,18.88,2459800.5,0.6381,1.962,0.71,55.18,240.86,247.96,82.34,3.21,0.3586,0.0416,1
       (2010 UK8),,,,19.9,2459800.5,0.6983,2.189,0.66,1.87,11.55,135.51,204.54,3.72,0.3043,0.0194,1
       (2010 VZ),0.38,0.194,,19.3,2459800.5,0.5923,2.446,0.997,8.46,181.94,215.57,21.53,3.89,0.2577,0.0432,1
       (2010 VT11),0.152,0.189,,21.5,2459800.5,0.6114,1.754,0.682,2.48,249.39,65.74,42.63,2.83,0.4243,0.0121,1
       (2010 VD72),0.124,0.29,,21.4,2459800.5,0.1812,0.9184,0.752,19.19,224.08,310.23,12.23,1.08,1.12,0.0144,1
       (2010 WV8),,,,21.9,2459800.5,0.6723,2.126,0.697,8.44,55.12,288.12,293.91,3.56,0.3179,0.00623,1
       (2010 WZ8),,,,20.78,2459800.5,0.5033,1.973,0.98,3.7,284.24,200.51,61.87,2.97,0.3557,0.0104,1
       (2010 XC15),,,,21.43,2459800.5,0.4166,0.735,0.429,8.38,94.47,157.65,10.22,1.04,1.564,0.00299,1
       (2010 XB24),,,,21.8,2459800.5,0.4394,1.286,0.721,5.53,263.32,285.88,297.46,1.85,0.6757,0.0217,1
       (2010 XC25),,,,20.9,2459800.5,0.5289,1.743,0.821,2.98,303.97,237.22,352.12,2.66,0.4284,0.00107,1
       (2010 XA68),,,,21.9,2459800.5,0.3014,1.157,0.809,59.27,74.33,107.46,55.85,1.51,0.7916,0.0475,1
       (2010 XP69),0.273,0.065,,21.4,2459800.5,0.3427,1.523,1.001,14.59,199.85,197.3,88.38,2.05,0.5243,0.0153,1
       (2010 YB),,,,20.7,2459800.5,0.4946,1.822,0.921,3.6,314.49,94.48,277.08,2.72,0.4008,0.0464,1
       (2011 AM24),0.511,0.043,,20.5,2459800.5,0.15,1.179,1.002,9.13,127.2,214.86,140.54,1.36,0.7702,0.00981,1
       (2011 AT26),,,,21.6,2459800.5,0.6974,2.373,0.718,1.75,243.31,124.97,80.51,4.03,0.2697,0.00767,1
       (2011 BX10),,,,18.2,2459800.5,0.6449,2.814,0.999,9.76,79.08,348.63,159.35,4.63,0.2088,0.0214,1
       (2011 BY18),,,,20.8,2459800.5,0.7834,2.264,0.49,3.65,135.24,240.07,150.86,4.04,0.2892,0.0232,1
       (2011 BE38),,,,18.3,2459800.5,0.7112,2.627,0.759,8.16,321.36,302.65,227.31,4.5,0.2314,0.0218,1
       (2011 BM45),,,,21.6,2459800.5,0.8034,1.922,0.378,5.33,302.24,63.21,145.23,3.47,0.37,0.00694,1
       (2011 BO59),,,,21.26,2459800.5,0.4647,1.83,0.979,4.75,343.54,221.35,206.2,2.68,0.3983,0.0273,1
       (2011 BT59),,,,20.9,2455592.5,0.9474,2.471,0.13,3.57,39.25,302.83,16.23,4.81,0.2538,0.0206,1
       (2011 CG2),,,10.813,21.4,2459800.5,0.1584,1.177,0.991,2.76,293.2,283.86,298.7,1.36,0.7716,0.03,1
       (2011 CT4),,,3.93,20.5,2459800.5,0.7187,1.726,0.486,2.65,304.82,69.6,68.35,2.97,0.4348,0.00658,1
       (2011 CC22),,,,21,2459800.5,0.1154,1.123,0.993,34.82,130.32,171.28,83.41,1.25,0.8286,0.0204,1
       (2011 CY46),,,5.567,19.9,2459800.5,0.6117,2.149,0.834,11.56,11.09,221.16,209.86,3.46,0.3129,0.0413,1
       (2011 DV),,,,20.6,2459800.5,0.0499,0.9567,0.909,10.59,35.13,350.63,218.91,1,1.053,0.00165,1
       (2011 DS9),,,,20.2,2459800.5,0.6427,2.621,0.936,3.7,93.35,146.27,233.65,4.3,0.2323,0.0037,1
       (2011 EL11),,,,19.84,2459800.5,0.6902,1.996,0.618,3.91,313.79,82.14,61.53,3.37,0.3495,0.00651,1
       (2011 EF17),,,,19.2,2459800.5,0.743,2.344,0.603,4.22,3.88,282.41,26.32,4.09,0.2746,0.0108,1
       (2011 EG17),,,,20.6,2459800.5,0.4186,1.38,0.802,20.11,170.12,241.55,84.22,1.96,0.608,0.0434,1
       (2011 EO40),,,,21.5,2459800.5,0.5401,1.654,0.76,3.36,50.25,17.15,169.87,2.55,0.4635,0.0479,1
       (2011 EL51),,,,21.9,2455636.5,0.5683,1.191,0.514,10.97,198.62,94.69,305.27,1.87,0.7586,0.0471,1
       (2011 EO51),,,,21.1,2459800.5,0.7861,1.565,0.335,6.75,175.11,227.4,326.96,2.8,0.5034,0.0247,1
       (2011 GA),,,,20.8,2459800.5,0.5912,1.803,0.737,9.83,200.38,109.81,202.57,2.87,0.407,0.00661,1
       (2011 GM44),,,,19.65,2459800.5,0.519,0.7816,0.376,49.33,10.83,37.52,247.32,1.19,1.426,0.0228,1
       (2011 GS60),,,,19,2459800.5,0.9226,3.36,0.26,19.29,137.57,307.5,310.72,6.46,0.16,0.0242,1
       (2011 JA),,,,21.3,2459800.5,0.2876,1.185,0.844,41.62,215.01,286.19,315.15,1.53,0.764,0.00089,1
       (2011 JD1),,,,21.7,2455688.5,0.3576,1.112,0.714,21.95,34.31,85.63,60.02,1.51,0.8409,0.00675,1
       (2011 JR13),,,3.96,19.5,2459800.5,0.7258,1.299,0.356,24.69,235.09,129.57,165.14,2.24,0.6657,0.0469,1
       (2011 KE),,,8.2,19.81,2459800.5,0.9546,2.207,0.1,5.89,205,188.55,138.76,4.31,0.3006,0.0417,1
       (2011 KU15),,,,21.8,2455711.5,0.8761,1.955,0.242,4.4,214.49,166.85,337.84,3.67,0.3607,0.0477,1
       (2011 LA19),0.852,0.056,,19.17,2459800.5,0.652,2.912,1.013,19.22,97.96,202.77,72.81,4.81,0.1984,0.0262,1
       (2011 LC19),,,,18.9,2459800.5,0.7324,3.198,0.856,10.5,219.41,139.18,321.5,5.54,0.1723,0.0178,1
       (2011 LJ19),,,,21.3,2459800.5,0.621,2.622,0.994,1.54,296.49,30.42,209.29,4.25,0.2322,0.00516,1
       (2011 MU),,,,20.25,2459800.5,0.6652,1.35,0.452,7.3,100,281.88,355.9,2.25,0.6281,0.0244,1
       (2011 OA),,,,21.2,2459800.5,0.5194,2.16,1.038,9.15,280.88,28.16,171.8,3.28,0.3106,0.0487,1
       (2011 OB),,,,19.3,2459800.5,0.5242,0.904,0.43,27.74,106.24,48.91,28.56,1.38,1.147,0.0102,1
       (2011 OR15),,,,21,2459800.5,0.4431,1.655,0.922,5.01,146.1,251.06,29.55,2.39,0.4627,0.0392,1
       (2011 OV18),,,,19.7,2459800.5,0.4389,1.631,0.915,16.93,271.31,148.95,49.45,2.35,0.4733,0.022,1
       (2011 PS),,,,20.4,2459800.5,0.5149,1.806,0.876,3.73,19.08,26.83,160.62,2.74,0.406,0.0266,1
       (2011 PO1),,,,20.9,2459800.5,0.6348,2.517,0.919,5.74,210.64,166.76,261.18,4.11,0.2469,0.0339,1
       (2011 SO32),,,,21.19,2459800.5,0.4768,1.724,0.902,9.91,198.74,243.59,259.7,2.55,0.4353,0.0484,1
       (2011 SM68),,,,19.63,2459800.5,0.6643,1.396,0.469,19.24,24.04,109.21,166.08,2.32,0.5977,0.000816,1
       (2011 TK),,,,21.5,2459800.5,0.6462,2.463,0.871,7.78,328.37,122.17,274.65,4.05,0.2551,0.0274,1
       (2011 TC4),,,,20.38,2459800.5,0.7198,1.492,0.418,3.13,200.69,309.38,291.24,2.57,0.5409,0.0157,1
       (2011 TX8),,,,21.9,2459800.5,0.7085,0.9094,0.265,5.98,207.86,313.34,98.01,1.55,1.137,0.0126,1
       (2011 TN9),,,,21.39,2459800.5,0.4513,1.899,1.042,4.1,199.16,163.09,53.88,2.76,0.3767,0.0445,1
       (2011 UG20),,,,21.4,2459800.5,0.6868,1.124,0.352,18.99,205.71,305.07,333.5,1.9,0.8269,0.00481,1
       (2011 UH20),,,,21.1,2459800.5,0.336,1.231,0.817,35.78,21.61,257.18,27.64,1.64,0.7217,0.013,1
       (2011 UT20),,,,20.42,2459800.5,0.4409,1.191,0.666,6.56,271.37,246.44,25.2,1.72,0.7587,0.032,1
       (2011 UV63),,,,21.7,2459800.5,0.1339,1.193,1.033,9.79,13.67,189.86,287.75,1.35,0.7568,0.035,1
       (2011 UE305),,,,21.23,2459800.5,0.6711,2.421,0.796,4.72,303.68,52.96,319.26,4.05,0.2616,0.0137,1
       (2011 VU5),,,,20.4,2459800.5,0.5562,2.199,0.976,30.47,44.01,24.99,104.3,3.42,0.3023,0.0186,1
       (2011 WN15),,,2.9656,19.6,2459800.5,0.8579,1.217,0.173,33.43,75.55,218.57,21.99,2.26,0.7343,0.00269,1
       (2011 WN46),,,,21.1,2455894.5,0.4145,1.146,0.671,26.57,43.11,104.11,312.07,1.62,0.8036,0.0453,1
       (2011 WR46),,,,20,2455896.5,0.8948,2.473,0.26,4.87,240.74,323.36,347.74,4.69,0.2535,0.0278,1
       (2011 XA3),,,0.73,20.4,2459800.5,0.9259,1.467,0.109,28.01,273.46,323.9,334.49,2.82,0.5548,0.0338,1
       (2011 YE6),,,,21,2459800.5,0.7298,2.812,0.76,3.06,182.07,348.24,79.84,4.86,0.209,0.0435,1
       (2011 YG6),,,,21.09,2459800.5,0.2989,1.164,0.816,28.06,92.83,267.35,224.02,1.51,0.7843,0.025,1
       (2011 YH28),,,,20.55,2459800.5,0.7132,2.622,0.752,8.62,285.25,287.52,159.7,4.49,0.2321,0.0116,1
       (2011 YJ28),,,,21.3,2459800.5,0.0925,1.06,0.962,27.07,290.11,306.04,137.52,1.16,0.9034,0.0199,1
       (2011 YV62),,,,21.3,2459800.5,0.5999,1.636,0.655,7.79,243.86,85.34,75.21,2.62,0.4709,0.00317,1
       (2012 AD3),,,,19.7,2459800.5,0.6062,2.196,0.865,5.22,149.78,216.13,125.44,3.53,0.3028,0.025,1
       (2012 AA11),,,14.19,20.1,2459800.5,0.4855,1.977,1.017,6.42,21.12,146.08,266.09,2.94,0.3544,0.0488,1
       (2012 BS23),,,,21.5,2459800.5,0.5792,1.936,0.815,5.39,317.74,258.89,298.2,3.06,0.366,0.0313,1
       (2012 BT23),,,,19,2459800.5,0.6004,1.975,0.789,9.11,182.3,43.26,255.54,3.16,0.3552,0.0487,1
       (2012 BU61),,,,21.5,2459800.5,0.7771,2.527,0.563,5.22,296.27,73.96,242.76,4.49,0.2454,0.0267,1
       (2012 BJ86),,,,21.3,2459800.5,0.6373,1.981,0.719,1.34,301.93,99.93,296.33,3.24,0.3535,0.00329,1
       (2012 BM86),,,,21.88,2459800.5,0.6336,2.151,0.788,11.4,164.13,56.36,101.48,3.51,0.3125,0.0162,1
       (2012 BB124),,,,21.11,2459800.5,0.211,1.155,0.911,15.79,137.65,122.8,65.69,1.4,0.7942,0.0199,1
